Designation,h (in),w (in),Thickness Web (in),Thickness Flange (in),Sectional Area (in^2),Weight (lb/ft),Ix (in^4),Iy (in^4),Section of Modulus - Sx (in^3),Section of Modulus - Sy (in^3)
S24 x 121,24.5,8.05,0.8,1.09,35.6,121,3160,83.3,258,20.7
S24 x 106,24.5,7.78,0.62,1.09,31.2,106,2940,77.1,240,19.6
S24 x 100,24,7.425,0.745,0.87,29.3,100,2390,47.7,199,13.2
S24 x 90,24,7.125,0.625,0.87,26.5,90,2250,44.9,187,12.6
S24 x 80,24,7,0.5,0.87,23.5,80,2100,42.2,175,12.1
S20 x 96,20.3,7.2,0.8,0..920,28.2,96,1670,50.2,165,13.9
S20 x 86,20.3,7.06,0.66,0.92,25.3,86,1580,46.8,155,13.3
S20 x 75,20,6.385,0.635,0.795,22,75,1280,29.8,128,9.32
S20 x 66,20,6.255,0.505,0.795,19.4,66,1190,27.7,119,8.85
S18 x 70,18,6.251,0.711,0.691,20.6,70,926,24.1,103,7.72
S18 x 54.7,18,6.001,0.461,0.691,16.1,54.7,804,20.8,89.4,6.94
S15 x 50,15,5.64,0.55,0.622,14.7,50,486,15.7,64.8,5.57
S15 x 42.9,15,5.501,0.411,0.622,12.6,42.9,447,14.4,59.6,5.23
S12 x 50,12,5.477,0.687,0.659,14.7,50,305,15.7,20.8,4.74
S12 x 40.8,12,5.252,0.462,0.659,12,40.8,272,13.6,45.4,5.16
S12 x 35,12,5.078,0.428,0.544,10.3,35,229,9.87,38.2,3.89
S12 x 31.8,12,5,0.35,0.544,9.35,31.8,218,9.36,36.4,3.74
S10 x 35,10,4.944,0.594,0.491,10.3,35,147,8.36,29.4,3.38
S10 x 25.4,10,4.661,0.311,0.491,7.46,25.4,124,6.79,24.7,2.91
S8 x 23,8,4.171,0.441,0.426,6.77,23,64.09,4.31,16.2,2.07
S8 x 18.4,8,4.001,0.271,0.426,5.41,18.4,57.6,3.73,14.4,1.86
S7 x 20,7,3.86,0.45,0.392,5.88,20,42.4,3.17,12.1,1.64
S7 x 15.3,7,3.662,0.252,0.392,4.5,15.3,36.7,2.64,10.5,1.44
S6 x 17.25,6,3.565,0.465,0.359,5.07,17.25,26.3,2.31,8.77,1.3
S6 x 12.5,6,3.332,0.232,0.359,3.67,12.5,22.1,1.82,7.37,1.09
S5 x 14.75,5,3.284,0.494,0.326,4.34,14.75,15.2,1.67,6.09,1.01
S5 x 10,5,3.004,0.214,0.326,2.94,10,12.3,1.22,4.92,0.81
S4 x 9.5,4,2.796,0.326,0.293,2.79,9.5,6.79,0.903,3.39,0.65
S4 x 7.7,4,2.663,0.193,0.293,2.26,7.7,6.08,0.764,3.04,0.57
S3 x 7.5,3,2.509,0.349,0.26,2.21,7.5,2.93,0.586,1.95,0.47
S3 x 5.7,3,2.33,0.17,0.26,1.67,5.7,2.52,0.455,1.68,0.39